band,address,street,neighborhood,geo_type,ptype,sqft,waterfront,list_price,ask_ppsf,supported_ppsf,supported_value,under_pct,opportunity,street_comps,confidence,reasons
$2M–$3M,2200 S Ocean Ln Unit#1501-1503,S Ocean Ln,Point Americas,Barrier island / beach,Condo,4902,True,2795000,570.0,679.0,3328000,19.1,534000,66,Condo — verify,"Asking $570/sqft — 19% under supported $679/sqft (66 sales on S Ocean Ln). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,1133 NE 18th Court,NE 18th Ct,Lauderdale Park,Intracoastal / canal waterfront,Single Family,2576,True,1825000,708.0,914.0,2354000,29.1,531000,9,High,Asking $708/sqft — 29% under supported $914/sqft (9 sales on NE 18th Ct). | Newer construction (built 2025) priced near existing-home levels ($490/sqft).
$3M–$5M,719 N Victoria Park Road,N Victoria Park Rd,Victoria Highlands Pla,Mainland inland,Single Family,4051,False,3199000,790.0,921.0,3731000,16.6,531000,30,High,Asking $790/sqft — 17% under supported $921/sqft (30 sales on N Victoria Park Rd).
$3M–$5M,1609 SE 4th Street,SE 4th St,Colee Hammock,Mainland inland,Single Family,4594,False,4749000,1034.0,1141.0,5242000,10.3,492000,14,High,"Asking $1,034/sqft — 10% under supported $1,141/sqft (14 sales on SE 4th St)."
$2M–$3M,1308 Avocado Isle,Avocado Isle,South New River Isles,Finger-isle waterfront,Single Family,3000,True,2999900,1000.0,1159.0,3477000,15.9,477000,5,High,"Asking $1,000/sqft — 16% under supported $1,159/sqft (5 sales on Avocado Isle). | Newer construction (built 2026) priced near existing-home levels ($711/sqft)."
$1M–$2M,2056 NE 21st Court,NE 21st Ct,South Coral Point,Intracoastal / canal waterfront,Single Family,2851,True,1595000,559.0,720.0,2053000,28.8,459000,11,High,Asking $559/sqft — 29% under supported $720/sqft (11 sales on NE 21st Ct).
$2M–$3M,3325 NE 14th Court,NE 14th Ct,Las Olas,Mainland inland,Single Family,3616,False,2600000,719.0,845.0,3056000,17.5,456000,5,High,"Asking $719/sqft — 18% under supported $845/sqft (5 sales on NE 14th Ct). | In Las Olas's $2M–$3M band, homes sell around $828/sqft."
$3M–$5M,1629 NE 6th Street,NE 6th St,Victoria Park,Mainland inland,Single Family,4363,False,3850000,882.0,985.0,4298000,11.7,449000,10,High,Asking $882/sqft — 12% under supported $985/sqft (10 sales on NE 6th St).
$3M–$5M,701 N Fort Lauderdale Beach Blvd Unit#501,N Fort Lauderdale Beach Blvd,Paramount Ft Lauderdale Paramount Fort Lauderdale,Barrier island / beach,Condo,3214,True,4375000,1361.0,1497.0,4811000,10.0,437000,78,Condo — verify,"Asking $1,361/sqft — 10% under supported $1,497/sqft (78 sales on N Fort Lauderdale Beach Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,2100 N Ocean Blvd Unit#12D,N Ocean Blvd,Palms Tower One,Barrier island / beach,Condo,2172,True,1690000,778.0,968.0,2102000,24.4,413000,147,Condo — verify,"Asking $778/sqft — 24% under supported $968/sqft (147 sales on N Ocean Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$2M–$3M,1809 Coral Gardens Dr,Coral Gardens Dr,Middle River Estates,Intracoastal / canal waterfront,Single Family,3669,True,2000000,545.0,656.0,2407000,20.4,407000,10,High,"Asking $545/sqft — 20% under supported $656/sqft (10 sales on Coral Gardens Dr). | Waterfront, yet priced below the area's waterfront median ($619/sqft)."
$2M–$3M,59 Hendricks Isle,Hendricks Isle,Laguna Del Sol,Finger-isle waterfront,Townhouse,3678,True,2490000,677.0,787.0,2895000,16.2,405000,32,High,Asking $677/sqft — 16% under supported $787/sqft (32 sales on Hendricks Isle).
$3M–$5M,607 Intracoastal Drive,Intracoastal Dr,Sunrise Intracoastal,Mainland inland,Single Family,3920,False,3500000,893.0,995.0,3900000,11.4,400000,39,High,Asking $893/sqft — 11% under supported $995/sqft (39 sales on Intracoastal Dr).
$2M–$3M,2110 N Ocean Blvd Unit#21B,N Ocean Blvd,Palms,Barrier island / beach,Condo,2623,True,2095000,799.0,948.0,2487000,18.6,391000,147,Condo — verify,"Asking $799/sqft — 19% under supported $948/sqft (147 sales on N Ocean Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$2M–$3M,69 Isle Of Venice Drive,Isle Of Venice Dr,Seaside Villas,Intracoastal / canal waterfront,Townhouse,3928,True,2499000,636.0,734.0,2883000,15.4,385000,35,High,Asking $636/sqft — 15% under supported $734/sqft (35 sales on Isle Of Venice Dr).
$1M–$2M,805 SE 10th Street,SE 10th St,Rio Vista,Mainland inland,Single Family,2408,False,1500000,623.0,778.0,1873000,24.9,373000,7,High,"Asking $623/sqft — 25% under supported $778/sqft (7 sales on SE 10th St). | ~9,375 sqft lot — land alone is worth ~$1,118,438 of the $1,500,000 ask. | In Rio Vista's $1M–$2M band, homes sell around $720/sqft."
$1M–$2M,301 Hendricks Isle Unit#10,Hendricks Isle,Place Des Arts,Intracoastal / canal waterfront,Condo,4134,True,1999000,484.0,572.0,2365000,18.2,364000,32,Condo — verify,"Asking $484/sqft — 18% under supported $572/sqft (32 sales on Hendricks Isle). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,2200 S OCEAN LN Unit#1501-2,S Ocean Ln,Point Americas,Barrier island / beach,Condo,3644,True,1995000,547.0,645.0,2350000,17.9,357000,66,Condo — verify,"Asking $547/sqft — 18% under supported $645/sqft (66 sales on S Ocean Ln). | In Point Americas's $1M–$2M band, homes sell around $662/sqft. | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,705 SW 8th Terrace,SW 8th Ter,Tarpon River,Mainland inland,Single Family,2458,False,1699000,691.0,831.0,2043000,20.3,344000,7,High,Asking $691/sqft — 20% under supported $831/sqft (7 sales on SW 8th Ter).
$3M–$5M,1125 SE 9th Street,SE 9th St,Rio Vista,Mainland inland,Single Family,3985,False,3995000,1003.0,1089.0,4340000,8.6,343000,9,High,"Asking $1,003/sqft — 9% under supported $1,089/sqft (9 sales on SE 9th St)."
$2M–$3M,201 NE 27th Dr,NE 27th Dr,Sunset Manors Amen,Mainland inland,Single Family,3000,False,2850000,950.0,1059.0,3177000,11.5,327000,12,High,"Asking $950/sqft — 11% under supported $1,059/sqft (12 sales on NE 27th Dr)."
$3M–$5M,804 N Rio Vista Boulevard,N Rio Vista Blvd,Rio Vista,Mainland inland,Single Family,3939,False,3195000,811.0,891.0,3510000,9.9,315000,0,Neighborhood,"Asking $811/sqft — 10% under supported $891/sqft (91 sales in Rio Vista). | In Rio Vista's $3M–$5M band, homes sell around $924/sqft."
$3M–$5M,918 SE 8th Street,SE 8th St,Rio Vista,Mainland inland,Single Family,3921,False,3449000,880.0,959.0,3760000,9.0,310000,0,Neighborhood,Asking $880/sqft — 9% under supported $959/sqft (91 sales in Rio Vista).
<$1M,1515 SW 13th Court,SW 13th Ct,Shady Banks,Mainland inland,Single Family,2764,False,899000,325.0,436.0,1205000,34.2,307000,6,High,Asking $325/sqft — 34% under supported $436/sqft (6 sales on SW 13th Ct).
<$1M,1317 SE 2nd Avenue,SE 2nd Ave,Croissant Park,Mainland inland,Single Family,2416,False,820000,339.0,460.0,1111000,35.7,292000,0,Neighborhood,Asking $339/sqft — 36% under supported $460/sqft (34 sales in Croissant Park).
$1M–$2M,1817 SE 25 Avenue,SE 25 Ave,Harbour Heights,Mainland inland,Single Family,2529,False,1275000,504.0,619.0,1565000,22.8,291000,0,Neighborhood,"Asking $504/sqft — 23% under supported $619/sqft (14 sales in Harbour Heights). | ~10,625 sqft lot — land alone is worth ~$722,500 of the $1,275,000 ask. | In Harbour Heights's $1M–$2M band, homes sell around $699/sqft."
$3M–$5M,3304 NE 14th Court,NE 14th Ct,Las Olas,Mainland inland,Single Family,3556,False,3575000,1005.0,1086.0,3862000,8.1,288000,5,High,"Asking $1,005/sqft — 8% under supported $1,086/sqft (5 sales on NE 14th Ct)."
$1M–$2M,3030 N Ocean Boulevard Unit#S101,N Ocean Blvd,Thirty North Ocean Cond,Barrier island / beach,Condo,2373,False,1995000,841.0,957.0,2271000,13.8,275000,147,Condo — verify,"Asking $841/sqft — 14% under supported $957/sqft (147 sales on N Ocean Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$3M–$5M,3209 NE 26th Street,NE 26th St,Dolphin Isles,Mainland inland,Single Family,3418,False,3000000,878.0,953.0,3257000,8.5,256000,18,High,Asking $878/sqft — 9% under supported $953/sqft (18 sales on NE 26th St).
$1M–$2M,919 NE 17th Terrace Unit#A,NE 17th Ter,Victoria Park,Mainland inland,Townhouse,2445,False,1595000,652.0,755.0,1846000,15.8,252000,26,High,Asking $652/sqft — 16% under supported $755/sqft (26 sales on NE 17th Ter). | Newer construction (built 2025) priced near existing-home levels ($523/sqft).
$2M–$3M,821 SE 2nd Ct,SE 2nd Ct,Colee Hammock,Mainland inland,Single Family,3937,False,2999000,762.0,826.0,3252000,8.4,252000,8,High,Asking $762/sqft — 8% under supported $826/sqft (8 sales on SE 2nd Ct).
$1M–$2M,76 Isle Of Venice Drive Unit#G,Isle Of Venice Dr,Isles Venice Co Op,Finger-isle waterfront,Condo,3020,True,1395000,462.0,545.0,1646000,18.0,251000,35,Condo — verify,"Asking $462/sqft — 18% under supported $545/sqft (35 sales on Isle Of Venice Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2700 NE 8th Avenue,NE 8th Ave,Highland Estates,Mainland inland,Townhouse,2785,False,849900,305.0,395.0,1100000,29.5,251000,44,High,Asking $305/sqft — 30% under supported $395/sqft (44 sales on NE 8th Ave).
$1M–$2M,101 S Fort Lauderdale Beach Boulevard Unit#702,S Fort Lauderdale Beach Blvd,Las Olas,Barrier island / beach,Condo,2380,True,1499000,630.0,735.0,1749000,16.7,250000,20,Condo — verify,"Asking $630/sqft — 17% under supported $735/sqft (20 sales on S Fort Lauderdale Beach Blvd). | Waterfront, yet priced below the area's waterfront median ($708/sqft). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2100 S Ocean Ln Unit#805,S Ocean Ln,Point Americas,Barrier island / beach,Condo,1880,True,995000,529.0,659.0,1239000,24.6,244000,66,Condo — verify,"Asking $529/sqft — 25% under supported $659/sqft (66 sales on S Ocean Ln). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,1028 NW 8th Ave,NW 8th Ave,Progresso,Mainland inland,Single Family,1362,False,679900,499.0,670.0,913000,34.3,233000,8,High,Asking $499/sqft — 34% under supported $670/sqft (8 sales on NW 8th Ave). | Newer construction (built 2026) priced near existing-home levels ($405/sqft).
$1M–$2M,551 N Fort Lauderdale Beach Blvd Unit#R204,N Fort Lauderdale Beach Blvd,Flb Condominium Resid Ocean Resort Residences,Barrier island / beach,Condo,1061,True,1395000,1315.0,1533.0,1627000,16.6,231000,78,Condo — verify,"Asking $1,315/sqft — 17% under supported $1,533/sqft (78 sales on N Fort Lauderdale Beach Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,710 NE 3rd Ave,NE 3rd Ave,Flagler Heights Bamboo Flats,Mainland inland,Townhouse,2842,False,1095000,385.0,466.0,1324000,21.0,230000,57,High,Asking $385/sqft — 21% under supported $466/sqft (57 sales on NE 3rd Ave).
<$1M,1516 SW 15th Terrace,SW 15th Ter,Shady Banks On New River,Mainland inland,Single Family,2292,False,925000,404.0,504.0,1155000,24.8,229000,4,Medium,Asking $404/sqft — 25% under supported $504/sqft (4 sales on SW 15th Ter).
$1M–$2M,308 SW 14th Ct,SW 14th Ct,Lauderdale,Mainland inland,Single Family,2440,False,1499000,614.0,708.0,1728000,15.3,229000,4,Medium,Asking $614/sqft — 15% under supported $708/sqft (4 sales on SW 14th Ct).
$1M–$2M,615 Bayshore Drive Unit#301,Bayshore Dr,La Cascade,Barrier island / beach,Condo,2274,True,1395000,613.0,712.0,1619000,16.2,225000,83,Condo — verify,"Asking $613/sqft — 16% under supported $712/sqft (83 sales on Bayshore Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2831 N Ocean Blvd Unit#207N,N Ocean Blvd,Sapphire Fort Lauderdale Sapphire,Barrier island / beach,Condo,1468,False,940000,640.0,787.0,1155000,23.0,216000,147,Condo — verify,"Asking $640/sqft — 23% under supported $787/sqft (147 sales on N Ocean Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,3057 NE 16th Avenue,NE 16th Ave,Coral Brook,Intracoastal / canal waterfront,Single Family,1810,True,1275000,704.0,823.0,1490000,16.9,215000,73,High,Asking $704/sqft — 17% under supported $823/sqft (73 sales on NE 16th Ave).
$1M–$2M,907 NE 16th Avenue,NE 16th Ave,Victoria Park,Mainland inland,Townhouse,2483,False,1350000,544.0,630.0,1564000,15.8,214000,73,High,Asking $544/sqft — 16% under supported $630/sqft (73 sales on NE 16th Ave). | Newer construction (built 2023) priced near existing-home levels ($523/sqft).
$1M–$2M,2757 NE 14th Avenue,NE 14th Ave,Middle River Estates,Intracoastal / canal waterfront,Single Family,1824,True,1199000,657.0,774.0,1412000,17.8,213000,73,High,"Asking $657/sqft — 18% under supported $774/sqft (73 sales on NE 14th Ave). | In Middle River Estates's $1M–$2M band, homes sell around $724/sqft."
<$1M,1213 SW 21st Street,SW 21st St,Floral Ridge,Mainland inland,Single Family,1898,False,595000,313.0,424.0,805000,35.5,211000,4,Medium,Asking $313/sqft — 35% under supported $424/sqft (4 sales on SW 21st St).
$1M–$2M,551 N Fort Lauderdale Beach Blvd Unit#R2205,N Fort Lauderdale Beach Blvd,Flb Condominium Resid Elliott,Barrier island / beach,Condo,1113,True,1434900,1289.0,1477.0,1644000,14.6,209000,78,Condo — verify,"Asking $1,289/sqft — 15% under supported $1,477/sqft (78 sales on N Fort Lauderdale Beach Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,1216 SE 1st Street,SE 1st St,Colee Hammock,Mainland inland,Single Family,2176,False,1450000,666.0,759.0,1652000,14.0,202000,10,High,Asking $666/sqft — 14% under supported $759/sqft (10 sales on SE 1st St).
<$1M,347 N New River Drive Unit#301,N New River Dr,Watergarden,Intracoastal / canal waterfront,Condo,1615,True,850000,526.0,651.0,1051000,23.8,202000,31,Condo — verify,"Asking $526/sqft — 24% under supported $651/sqft (31 sales on N New River Dr). | Waterfront, yet priced below the area's waterfront median ($590/sqft). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2725 NE 8 Avenue Unit#113,NE 8 Ave,Highland Estates,Mainland inland,Townhouse,2294,False,600000,262.0,349.0,801000,33.2,200000,0,Neighborhood,Asking $262/sqft — 33% under supported $349/sqft (16 sales in Highland Estates).
<$1M,1617 NE 2nd Court,NE 2nd Ct,Victoria Park,Mainland inland,Townhouse,2652,False,899000,339.0,414.0,1098000,22.1,199000,0,Neighborhood,Asking $339/sqft — 22% under supported $414/sqft (146 sales in Victoria Park).
<$1M,936 Intracoastal Drive Unit#22C,Intracoastal Dr,Corinthian On Intracoa,Intracoastal / canal waterfront,Condo,1500,True,879000,586.0,718.0,1077000,22.5,198000,39,Condo — verify,"Asking $586/sqft — 23% under supported $718/sqft (39 sales on Intracoastal Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,804 SW 4th Avenue,SW 4th Ave,Ft Lauderdale Land Dev,Mainland inland,Townhouse,1650,False,515000,312.0,432.0,713000,38.5,198000,20,High,Asking $312/sqft — 38% under supported $432/sqft (20 sales on SW 4th Ave).
<$1M,532 NW 17th Ave,NW 17th Ave,Dorsey Park Second,Mainland inland,Single Family,1410,False,565000,401.0,539.0,760000,34.4,195000,5,High,Asking $401/sqft — 34% under supported $539/sqft (5 sales on NW 17th Ave).
<$1M,538 NW 17th Ave,NW 17th Ave,Dorsey Park Second,Mainland inland,Single Family,1410,False,565000,401.0,539.0,760000,34.4,195000,5,High,Asking $401/sqft — 34% under supported $539/sqft (5 sales on NW 17th Ave).
$2M–$3M,2100 N Ocean Blvd Unit#11B,N Ocean Blvd,Palms Tower One,Barrier island / beach,Condo,2623,True,2285000,871.0,945.0,2479000,8.5,194000,147,Condo — verify,"Asking $871/sqft — 8% under supported $945/sqft (147 sales on N Ocean Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,1413 NE 4th Court,NE 4th Ct,Las Olas,Mainland inland,Single Family,1894,False,1295000,684.0,786.0,1489000,14.9,193000,0,Neighborhood,"Asking $684/sqft — 15% under supported $786/sqft (163 sales in Las Olas). | ~5,966 sqft lot — land alone is worth ~$745,153 of the $1,295,000 ask."
<$1M,933 NW 2nd Ave,NW 2nd Ave,Progresso,Mainland inland,Single Family,1428,False,498000,349.0,482.0,688000,38.1,190000,15,High,Asking $349/sqft — 38% under supported $482/sqft (15 sales on NW 2nd Ave).
<$1M,1645 NE 16th Avenue,NE 16th Ave,Progresso,Mainland inland,Single Family,1742,False,719000,413.0,519.0,904000,25.7,185000,73,High,Asking $413/sqft — 26% under supported $519/sqft (73 sales on NE 16th Ave).
